text,label
We hate sleeping all day lol,General
I miss working on a project...,General
Hidden truth! UNESCO will charge money for every message.,Fake
Leaked document: WhatsApp CEO bans WhatsApp starting tonight.,Fake
Leaked document: WhatsApp CEO puts nano GPS chip in ₹2000 notes.,Fake
Anyone watched a great coffee...,General
Lok Sabha invests in new space mission.,True
ISRO inaugurates foreign direct investment.,True
Just went to sleeping all day,General
PM Modi concludes green energy initiative.,True
Who else bought working on a project!,General
Just miss the weekend tbh,General
Who else love this weather!,General
Leaked document: RBI will charge money for every message.,Fake
Supreme Court invests in infrastructure project.,True
Anyone bought this weather lol,General
Breaking News: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
BCCI sources claim: UNESCO finds cure for all viruses using lemon water.,Fake
Hidden truth! Government declares lockdown from tomorrow.,Fake
Just am thinking about this weather!,General
PM Modi inaugurates new space mission.,True
RBI reports economic growth data.,True
DRDO passes new bill on new space mission.,True
Reliance Industries declares quarterly monetary policy.,True
Indian Army invests in new space mission.,True
Who else went to this weather,General
Urgent warning: Government will charge money for every message.,Fake
Sensex inaugurates economic growth data.,True
Anyone am thinking about this weather :),General
BCCI sources claim: Secret society will charge money for every message.,Fake
I love dinner at a restaurant anyone?,General
Hello world this is a test post.,General
Leaked document: Government will charge money for every message.,Fake
BCCI sources claim: Government declares Indian National Anthem best in the world.,Fake
Who else am thinking about a great coffee...,General
Leaked document: Secret society declares lockdown from tomorrow.,Fake
BCCI sources claim: Local doctor declares lockdown from tomorrow.,Fake
Forward to 10 people! Government puts nano GPS chip in ₹2000 notes.,Fake
Just checking if this works.,General
Forward to 10 people! Government puts nano GPS chip in ₹2000 notes.,Fake
Anyone am thinking about working on a project anyone?,General
My friends and I miss working on a project,General
We had dinner at a restaurant anyone?,General
Hidden truth! RBI bans WhatsApp starting tonight.,Fake
BCCI sources claim: Local doctor bans WhatsApp starting tonight.,Fake
Urgent warning: UNESCO puts nano GPS chip in ₹2000 notes.,Fake
Anyone miss the gym today anyone?,General
Tata Motors successfully launches quarterly monetary policy.,True
Hidden truth! Local doctor declares lockdown from tomorrow.,Fake
Breaking News: Local doctor finds cure for all viruses using lemon water.,Fake
I miss this weather!,General
Tata Motors declares election dates for assembly.,True
Reliance Industries concludes foreign direct investment.,True
Finance Ministry passes new bill on foreign direct investment.,True
Just watched the weekend anyone?,General
Anyone hate working on a project...,General
Leaked document: Government declares Indian National Anthem best in the world.,Fake
Breaking News: WhatsApp CEO declares lockdown from tomorrow.,Fake
Leaked document: RBI finds cure for all viruses using lemon water.,Fake
Forward to 10 people! Secret society will charge money for every message.,Fake
Reliance Industries declares green energy initiative.,True
Leaked document: Secret society bans WhatsApp starting tonight.,Fake
Sensex successfully launches economic growth data.,True
I love the gym today :),General
Leaked document: RBI puts nano GPS chip in ₹2000 notes.,Fake
Tata Motors announces green energy initiative.,True
Reliance Industries concludes election dates for assembly.,True
My friends and I watched a great coffee!,General
ISRO declares green energy initiative.,True
Just went to the gym today :),General
Anyone watched a new movie!,General
ISRO successfully launches foreign direct investment.,True
So miss the gym today lol,General
RBI concludes quarterly monetary policy.,True
RBI successfully launches quarterly monetary policy.,True
Supreme Court invests in election dates for assembly.,True
Breaking News: WHO declares Indian National Anthem best in the world.,Fake
Just miss the gym today tbh,General
I watched the weekend tbh,General
Reliance Industries invests in new space mission.,True
Breaking News: WhatsApp CEO bans WhatsApp starting tonight.,Fake
So bought a great coffee anyone?,General
DRDO passes new bill on green energy initiative.,True
Lok Sabha declares green energy initiative.,True
Indian Army successfully launches foreign direct investment.,True
I love working on a project anyone?,General
Breaking News: WhatsApp CEO will charge money for every message.,Fake
Nifty 50 successfully launches foreign direct investment.,True
Anyone went to this weather lol,General
Testing the app.,General
BCCI sources claim: Local doctor will charge money for every message.,Fake
Breaking News: UNESCO will charge money for every message.,Fake
BCCI sources claim: RBI bans WhatsApp starting tonight.,Fake
Nifty 50 reports quarterly monetary policy.,True
BCCI sources claim: WHO declares Indian National Anthem best in the world.,Fake
PM Modi reports new space mission.,True
RBI passes new bill on foreign direct investment.,True
We went to dinner at a restaurant lol,General
We hate sleeping all day...,General
I miss the gym today :),General
I miss a great coffee...,General
Just am thinking about the weekend tbh,General
Urgent warning: Government puts nano GPS chip in ₹2000 notes.,Fake
DRDO declares foreign direct investment.,True
Reliance Industries announces green energy initiative.,True
Sensex successfully launches quarterly monetary policy.,True
RBI announces green energy initiative.,True
Anyone hate the gym today :),General
Anyone watched a great coffee tbh,General
My friends and I miss the gym today anyone?,General
Nifty 50 successfully launches new space mission.,True
Supreme Court declares foreign direct investment.,True
I am thinking about a new movie lol,General
Hidden truth! UNESCO bans WhatsApp starting tonight.,Fake
Hidden truth! UNESCO declares Indian National Anthem best in the world.,Fake
Testing the app.,General
BCCI sources claim: WHO puts nano GPS chip in ₹2000 notes.,Fake
Who else am thinking about the weekend lol,General
RBI concludes economic growth data.,True
We had dinner at a restaurant lol,General
Anyone am thinking about a new movie...,General
Reliance Industries invests in foreign direct investment.,True
Breaking News: WhatsApp CEO will charge money for every message.,Fake
Lok Sabha concludes new space mission.,True
Breaking News: Government declares lockdown from tomorrow.,Fake
Leaked document: WhatsApp CEO bans WhatsApp starting tonight.,Fake
We am thinking about working on a project!,General
Anyone hate the weekend tbh,General
We went to this weather!,General
Just checking if this works.,General
Urgent warning: WHO finds cure for all viruses using lemon water.,Fake
Urgent warning: Local doctor bans WhatsApp starting tonight.,Fake
Hello world this is a test post.,General
Just miss this weather...,General
I hate a great coffee :),General
We miss sleeping all day!,General
Indian Army inaugurates infrastructure project.,True
So watched working on a project!,General
Supreme Court successfully launches election dates for assembly.,True
Hidden truth! WHO puts nano GPS chip in ₹2000 notes.,Fake
Urgent warning: Secret society puts nano GPS chip in ₹2000 notes.,Fake
Breaking News: Government will charge money for every message.,Fake
Just bought sleeping all day...,General
Nifty 50 reports economic growth data.,True
Just miss sleeping all day tbh,General
Supreme Court concludes election dates for assembly.,True
Just am thinking about working on a project,General
Indian Army invests in election dates for assembly.,True
Breaking News: WHO will charge money for every message.,Fake
BCCI sources claim: RBI will charge money for every message.,Fake
My friends and I went to a new movie lol,General
Hidden truth! RBI will charge money for every message.,Fake
Just checking if this works.,General
Good morning everyone!,General
We went to sleeping all day anyone?,General
DRDO announces new space mission.,True
Who else love the gym today...,General
Anyone miss dinner at a restaurant!,General
Just watched dinner at a restaurant...,General
Breaking News: Local doctor bans WhatsApp starting tonight.,Fake
I watched sleeping all day anyone?,General
Forward to 10 people! WhatsApp CEO finds cure for all viruses using lemon water.,Fake
ISRO reports quarterly monetary policy.,True
Leaked document: UNESCO will charge money for every message.,Fake
Lok Sabha inaugurates election dates for assembly.,True
I miss this weather,General
Just hate a new movie tbh,General
BCCI sources claim: Secret society will charge money for every message.,Fake
Forward to 10 people! RBI declares Indian National Anthem best in the world.,Fake
DRDO reports economic growth data.,True
Lok Sabha declares economic growth data.,True
Sensex successfully launches infrastructure project.,True
Anyone went to the weekend :),General
My friends and I had this weather tbh,General
I love sleeping all day lol,General
BCCI sources claim: Government will charge money for every message.,Fake
Forward to 10 people! Government declares lockdown from tomorrow.,Fake
DRDO concludes infrastructure project.,True
Testing the app.,General
I went to this weather lol,General
So am thinking about sleeping all day anyone?,General
ISRO declares economic growth data.,True
Sensex announces election dates for assembly.,True
Anyone went to this weather anyone?,General
My friends and I hate a new movie :),General
So am thinking about a great coffee anyone?,General
I watched this weather tbh,General
Urgent warning: WHO puts nano GPS chip in ₹2000 notes.,Fake
PM Modi concludes infrastructure project.,True
We am thinking about sleeping all day...,General
